stt,nguonthu,so tien,ngay
0053,tiền bán đồ,470000,28/04/2022
0054,buôn bán,210000,21/01/2022
0055,lương,110000,23/04/2023
0056,tiền bán hàng,420000,21/03/2022
0057,tiền bán hàng,180000,28/12/2023
0058,học bổng,910000,17/02/2023
0059,tiền bán vé số,370000,16/05/2022
0060,thưởng(đi làm),160000,27/03/2023
0061,thưởng(đi làm),260000,26/01/2023
0062,tiền bán hàng,340000,23/10/2022
0063,tiền bán sách,370000,06/10/2022
0064,buôn bán,440000,22/01/2022
0065,buôn bán,430000,23/06/2022
0066,buôn bán,310000,12/04/2023
0067,tiền bán vé số,390000,20/01/2022
0068,tiền bán vé số,280000,27/09/2023
0069,tiền bố mẹ,1180000,07/10/2023
0070,học bổng,400000,31/05/2022
0071,thưởng(đi làm),330000,21/05/2023
0072,tiền bố mẹ,1540000,30/09/2022
0073,tiền bán sách,390000,29/11/2022
0074,lương,160000,28/09/2022
0075,thưởng(học tập),300000,27/05/2023
0076,tiền bố mẹ,1280000,15/12/2022
0077,tiền bán vé số,280000,14/12/2023
0078,tiền bảo hiểm,750000,12/11/2022
0079,tiền bố mẹ,1690000,14/02/2022
0080,tiền bán vé số,110000,10/05/2023
0081,thưởng(đi làm),70000,23/12/2022
0082,lương,150000,29/01/2022
0083,tiền bán đồ,120000,31/10/2023
0084,tiền hoa hồng,220000,08/04/2023
0085,tiền bán đồ,340000,05/08/2023
0086,lương,160000,13/01/2022
0087,buôn bán,460000,21/01/2022
0088,tiền bán sách,370000,06/04/2022
0089,tiền bán sách,470000,10/07/2023
0090,học bổng,1230000,20/06/2023
0091,tiền bố mẹ,1380000,18/06/2023
0092,thưởng(học tập),90000,15/03/2022
0093,thưởng(đi làm),150000,28/06/2022
0094,lương,170000,11/05/2022
0095,tiền bán sách,310000,14/01/2022
0096,tiền bán sách,410000,17/07/2023
0097,lương,180000,25/01/2022
0098,tiền bán hàng,450000,22/12/2022
0099,tiền bảo hiểm,500000,19/12/2023
0100,tiền hoa hồng,390000,27/09/2023
0101,tiền bán hàng,260000,05/01/2022
0102,buôn bán,460000,20/01/2022
0103,tiền bán đồ,270000,21/06/2022
0104,tiền bán sách,250000,04/10/2022
0105,tiền bán hàng,290000,31/03/2023
0106,tiền bán vé số,450000,27/10/2022
0107,tiền bán sách,180000,06/12/2023
0108,tiền bán đồ,480000,03/06/2023
0109,thưởng(đi làm),160000,05/09/2023
0110,tiền bán đồ,160000,23/11/2022
0111,tiền bán sách,280000,25/05/2023
0112,tiền hoa hồng,310000,28/06/2023
0113,học bổng,1240000,01/03/2023
0114,tiền bán đồ,210000,11/10/2023
0115,buôn bán,300000,22/12/2022
0116,tiền bố mẹ,1800000,31/08/2022
0117,tiền bảo hiểm,290000,31/10/2022
0118,tiền bán vé số,270000,27/01/2023
0119,tiền bán vé số,370000,27/08/2022
0120,thưởng(đi làm),320000,16/11/2022
0121,tiền bán đồ,430000,27/10/2023
0122,lương,160000,08/07/2023
0123,tiền bán đồ,220000,08/10/2023
0124,thưởng(đi làm),230000,10/04/2023
0125,buôn bán,370000,18/06/2023
0126,thưởng(học tập),100000,06/05/2022
0127,lương,120000,16/07/2022
0128,tiền bảo hiểm,740000,20/01/2023
0129,tiền bảo hiểm,910000,16/06/2023
0130,học bổng,1690000,11/03/2022
0131,thưởng(học tập),140000,27/08/2022
0132,tiền hoa hồng,330000,28/08/2023
0133,tiền bán hàng,290000,13/06/2023
0134,tiền bảo hiểm,690000,16/07/2023
0135,tiền bán sách,420000,11/01/2022
0136,tiền bán đồ,280000,14/02/2023
0137,thưởng(học tập),370000,03/03/2023
0138,tiền bán sách,420000,11/11/2023
0139,tiền bố mẹ,1540000,22/07/2022
0140,tiền bảo hiểm,620000,28/04/2022
0141,tiền bán sách,330000,14/07/2022
0142,thưởng(học tập),240000,23/08/2022
0143,tiền hoa hồng,160000,08/08/2023
0144,tiền bán hàng,200000,01/06/2022
0145,tiền hoa hồng,110000,28/02/2022
0146,tiền bán hàng,120000,29/10/2022
0147,tiền bán hàng,100000,11/11/2022
0148,tiền bán sách,490000,28/06/2023
0149,thưởng(học tập),270000,26/11/2022
0150,tiền bán đồ,110000,03/07/2023
0151,thưởng(học tập),70000,22/08/2022
0152,lương,170000,10/06/2022
0153,tiền bảo hiểm,700000,07/07/2023
0154,buôn bán,100000,23/09/2023
0155,tiền bán vé số,380000,17/03/2023
0156,lương,110000,01/03/2022
0157,tiền hoa hồng,300000,10/08/2023
0158,học bổng,1160000,24/08/2023
0159,thưởng(học tập),480000,05/03/2023
0160,tiền bảo hiểm,730000,29/04/2023
0161,tiền bảo hiểm,470000,13/04/2022
0162,lương,180000,29/04/2023
0163,học bổng,210000,02/05/2023
0164,tiền bán hàng,440000,16/04/2023
0165,tiền bố mẹ,1090000,30/05/2023
0166,thưởng(đi làm),240000,27/05/2022
0167,tiền bán sách,300000,16/11/2022
0168,tiền hoa hồng,170000,28/05/2022
0169,tiền bố mẹ,1140000,29/03/2023
0170,thưởng(đi làm),320000,12/12/2023
0171,buôn bán,430000,17/12/2022
0172,tiền bảo hiểm,200000,07/11/2022
0173,tiền bán sách,130000,13/11/2022
0174,tiền bán hàng,440000,11/07/2022
0175,tiền bảo hiểm,230000,22/05/2023
0176,buôn bán,410000,08/08/2023
0177,tiền bán hàng,380000,01/12/2022
0178,tiền hoa hồng,400000,18/03/2022
0179,thưởng(đi làm),280000,14/11/2023
0180,thưởng(học tập),430000,23/11/2022
0181,tiền bán sách,140000,30/03/2022
0182,tiền bảo hiểm,790000,18/05/2023
0183,tiền bán đồ,490000,21/11/2022
0184,thưởng(học tập),320000,30/01/2023
0185,tiền bố mẹ,1430000,04/08/2023
0186,lương,140000,02/12/2022
0187,thưởng(học tập),350000,25/08/2023
0188,tiền bố mẹ,1820000,24/12/2022
0189,thưởng(đi làm),60000,31/05/2022
0190,tiền bán sách,490000,02/06/2023
0191,tiền bán sách,130000,12/03/2023
0192,thưởng(đi làm),80000,21/08/2022
0193,tiền bán vé số,210000,07/04/2022
0194,thưởng(học tập),80000,13/03/2023
0195,tiền bố mẹ,1330000,19/07/2022
0196,tiền bán đồ,310000,09/10/2022
0197,thưởng(học tập),120000,22/07/2022
0198,lương,110000,10/04/2022
0199,tiền bảo hiểm,500000,31/01/2023
0200,lương,170000,04/09/2022
0201,lương,170000,09/03/2023
0202,buôn bán,480000,13/01/2023
0203,thưởng(học tập),320000,07/02/2023
0204,tiền bán sách,460000,28/07/2022
0205,thưởng(đi làm),470000,07/02/2022
0206,lương,160000,12/09/2023
0207,tiền bán hàng,310000,18/12/2022
0208,tiền bán sách,440000,11/04/2022
0209,tiền bán sách,130000,25/04/2023
0210,tiền bảo hiểm,250000,26/02/2023
0211,thưởng(học tập),480000,14/06/2023
0212,tiền bán sách,340000,25/08/2022
0213,tiền bán hàng,350000,17/08/2023
0214,tiền bảo hiểm,290000,13/04/2022
0215,buôn bán,140000,29/12/2023
0216,buôn bán,240000,14/11/2023
0217,tiền bán đồ,430000,24/02/2023
0218,tiền bán vé số,320000,26/11/2022
0219,tiền bán hàng,460000,04/07/2022
0220,lương,160000,12/04/2022
0221,tiền bán vé số,150000,20/12/2023
0222,học bổng,1740000,12/11/2023
0223,buôn bán,360000,11/08/2023
0224,tiền bán hàng,340000,09/12/2022
0225,học bổng,670000,08/12/2023
0226,tiền bán sách,230000,30/03/2023
0227,lương,110000,17/03/2022
0228,tiền hoa hồng,450000,09/11/2023
0229,tiền bảo hiểm,610000,19/12/2023
0230,tiền bán sách,300000,26/09/2022
0231,tiền bố mẹ,1310000,14/06/2023
0232,lương,120000,22/01/2022
0233,tiền bán hàng,100000,22/08/2022
0234,học bổng,820000,11/12/2023
0235,tiền bán hàng,390000,11/02/2023
0236,thưởng(học tập),410000,01/04/2023
0237,lương,130000,27/04/2022
0238,tiền bán đồ,300000,06/09/2023
0239,tiền bảo hiểm,830000,13/12/2023
0240,thưởng(đi làm),90000,26/08/2023
0241,tiền hoa hồng,420000,30/07/2023
0242,tiền bán sách,200000,20/10/2023
0243,tiền bán vé số,250000,07/10/2022
0244,thưởng(học tập),310000,31/01/2022
0245,tiền bán đồ,110000,18/03/2022
0246,tiền bố mẹ,1550000,15/07/2023
0247,tiền bán hàng,260000,13/07/2022
0248,tiền bán sách,250000,10/05/2022
0249,tiền bán đồ,470000,25/04/2022
0250,tiền bố mẹ,1010000,13/10/2023
0251,tiền bán vé số,240000,13/09/2022
0252,tiền bố mẹ,1150000,11/09/2023
0253,tiền bán hàng,290000,30/03/2023
0254,tiền bán vé số,200000,09/05/2023
0255,thưởng(học tập),130000,15/02/2023
0256,tiền bán hàng,180000,27/03/2022
0257,tiền bán hàng,350000,19/01/2022
0258,tiền bán vé số,390000,10/07/2023
0259,thưởng(học tập),190000,04/11/2023
0260,tiền bán vé số,340000,25/11/2022
0261,tiền bán đồ,130000,27/12/2022
0262,tiền bán đồ,360000,26/11/2023
0263,thưởng(học tập),270000,24/06/2023
0264,lương,150000,04/12/2022
0265,học bổng,1500000,14/06/2023
0266,buôn bán,240000,02/04/2022
0267,tiền bán đồ,150000,20/04/2023
0268,tiền hoa hồng,340000,26/03/2022
0269,tiền bố mẹ,1660000,11/05/2022
0270,tiền bố mẹ,1440000,19/02/2023
0271,tiền bán hàng,280000,29/05/2023
0272,tiền bảo hiểm,330000,06/02/2023
0273,tiền hoa hồng,330000,14/01/2022
0274,buôn bán,460000,27/06/2022
0275,lương,190000,21/06/2023
0276,tiền bảo hiểm,930000,16/06/2023
0277,tiền bán hàng,310000,23/05/2023
0278,tiền bán sách,120000,12/09/2023
0279,tiền bố mẹ,1580000,26/07/2023
0280,tiền bảo hiểm,790000,08/03/2022
0281,tiền bán vé số,300000,01/12/2023
0282,tiền bảo hiểm,870000,01/04/2023
0283,thưởng(đi làm),250000,11/01/2023
0284,tiền bán đồ,240000,11/09/2022
0285,lương,170000,29/10/2022
0286,tiền bán sách,130000,04/01/2022
0287,tiền bán đồ,420000,08/07/2022
0288,buôn bán,130000,07/10/2023
0289,tiền bán vé số,410000,13/12/2023
0290,tiền bán sách,130000,17/01/2023
0291,thưởng(học tập),330000,09/10/2023
0292,tiền hoa hồng,120000,30/09/2023
0293,tiền bảo hiểm,320000,03/10/2023
0294,buôn bán,310000,28/09/2022
0295,tiền bán hàng,260000,10/10/2023
0296,tiền bán hàng,410000,27/03/2022
0297,tiền bán đồ,200000,26/12/2022
0298,lương,190000,12/07/2022
0299,tiền hoa hồng,350000,18/10/2022
0300,tiền bố mẹ,1760000,01/04/2022
0301,thưởng(học tập),340000,01/04/2022
0302,tiền bảo hiểm,880000,10/08/2022
0303,tiền bán hàng,290000,31/03/2023
0304,tiền bố mẹ,1010000,10/06/2022
0305,tiền bán sách,190000,25/06/2023
0306,thưởng(đi làm),240000,20/03/2022
0307,tiền hoa hồng,390000,12/05/2023
0308,lương,140000,26/10/2023
0309,tiền bán vé số,150000,09/06/2023
0310,buôn bán,420000,18/06/2022
0311,tiền bán vé số,110000,15/08/2023
0312,thưởng(đi làm),480000,05/12/2023
0313,tiền bán hàng,180000,17/01/2023
0314,tiền bán hàng,490000,26/09/2023
0315,thưởng(đi làm),350000,26/04/2023
0316,lương,140000,09/04/2022
0317,lương,130000,10/02/2022
0318,tiền bán sách,160000,23/09/2023
0319,tiền bán vé số,400000,15/09/2022
0320,tiền bán đồ,200000,20/06/2022
0321,học bổng,1140000,01/01/2022
0322,tiền bảo hiểm,670000,27/06/2022
0323,buôn bán,270000,28/03/2022
0324,tiền bán vé số,140000,30/10/2023
0325,buôn bán,360000,16/07/2022
0326,học bổng,1400000,25/05/2023
0327,lương,190000,26/03/2022
0328,tiền bố mẹ,1970000,12/08/2022
0329,tiền hoa hồng,390000,06/08/2022
0330,tiền bán sách,240000,25/06/2022
0331,lương,130000,31/03/2023
0332,tiền bán hàng,380000,27/08/2022
0333,thưởng(đi làm),60000,27/08/2022
0334,học bổng,1030000,18/06/2023
0335,tiền bán hàng,320000,21/10/2022
0336,thưởng(học tập),460000,23/06/2022
0337,lương,180000,13/08/2022
0338,tiền bảo hiểm,280000,17/02/2023
0339,thưởng(học tập),480000,09/06/2022
0340,lương,170000,25/03/2023
0341,tiền hoa hồng,430000,28/01/2022
0342,lương,140000,30/10/2023
0343,tiền hoa hồng,440000,29/04/2023
0344,tiền hoa hồng,260000,17/08/2023
0345,tiền hoa hồng,220000,11/09/2023
0346,tiền bán sách,240000,09/10/2022
0347,tiền bán sách,290000,24/09/2022
0348,tiền bán vé số,340000,21/10/2023
0349,thưởng(học tập),360000,29/07/2022
0350,thưởng(đi làm),320000,19/01/2023
0351,thưởng(học tập),450000,05/09/2023
0352,tiền bán vé số,110000,04/06/2022
0353,tiền bảo hiểm,520000,27/02/2022
0354,tiền bán đồ,310000,16/07/2023
0355,tiền hoa hồng,280000,09/04/2023
0356,tiền bố mẹ,1870000,12/11/2022
0357,lương,170000,17/12/2022
0358,học bổng,760000,30/03/2023
0359,tiền bán vé số,470000,13/11/2023
0360,buôn bán,150000,12/07/2022
0361,lương,120000,21/06/2022
0362,tiền bán đồ,150000,12/06/2022
0363,tiền bảo hiểm,310000,25/12/2022
0364,tiền bán hàng,290000,07/04/2023
0365,tiền bảo hiểm,410000,13/04/2023
0366,tiền bảo hiểm,610000,09/03/2023
0367,tiền bố mẹ,1010000,27/05/2022
0368,tiền hoa hồng,270000,27/07/2023
0369,tiền bán đồ,130000,27/10/2023
0370,tiền bố mẹ,1180000,11/07/2022
0371,lương,190000,23/10/2023
0372,tiền hoa hồng,190000,11/12/2022
0373,buôn bán,380000,22/11/2023
0374,học bổng,1420000,29/01/2023
0375,tiền bố mẹ,1380000,04/03/2022
0376,tiền bán vé số,110000,05/01/2023
0377,lương,170000,13/10/2023
0378,học bổng,1310000,03/04/2023
0379,tiền bán đồ,110000,21/05/2023
0380,tiền bán hàng,200000,28/06/2022
0381,tiền bán hàng,270000,14/02/2023
0382,thưởng(học tập),480000,09/07/2023
0383,thưởng(đi làm),60000,07/11/2022
0384,tiền hoa hồng,430000,20/04/2023
0385,thưởng(đi làm),300000,04/09/2022
0386,buôn bán,210000,03/02/2023
0387,tiền bảo hiểm,510000,19/05/2023
0388,tiền bán đồ,160000,26/09/2022
0389,tiền bán hàng,410000,07/04/2022
0390,tiền bán hàng,130000,10/07/2023
0391,tiền bảo hiểm,590000,13/10/2022
0392,buôn bán,360000,26/11/2022
0393,tiền bán hàng,410000,11/05/2022
0394,tiền hoa hồng,290000,25/04/2023
0395,tiền bảo hiểm,720000,23/06/2023
0396,tiền bán hàng,480000,15/03/2023
0397,tiền bố mẹ,1320000,05/05/2023
0398,tiền bán hàng,290000,02/04/2023
0399,tiền bán vé số,420000,19/08/2023
0400,tiền bán đồ,100000,29/09/2022
0401,học bổng,820000,09/08/2023
0402,tiền hoa hồng,490000,30/11/2022
0403,tiền bảo hiểm,620000,07/06/2023
0404,học bổng,1740000,07/01/2023
0405,buôn bán,250000,23/07/2023
0406,tiền bảo hiểm,890000,29/12/2022
0407,tiền bố mẹ,1710000,09/04/2022
0408,thưởng(đi làm),430000,06/08/2022
0409,thưởng(học tập),50000,27/06/2023
0410,tiền hoa hồng,200000,17/01/2022
0411,tiền bảo hiểm,430000,27/02/2022
0412,thưởng(học tập),410000,30/06/2022
0413,lương,160000,21/12/2023
0414,tiền bán hàng,250000,15/10/2022
0415,thưởng(học tập),220000,12/03/2023
0416,tiền bán sách,100000,16/09/2022
0417,tiền bán đồ,160000,19/07/2023
0418,thưởng(đi làm),470000,10/01/2022
0419,tiền hoa hồng,430000,27/05/2022
0420,tiền bán vé số,270000,12/07/2023
0421,thưởng(đi làm),220000,02/05/2022
0422,tiền bán sách,360000,21/02/2023
0423,thưởng(đi làm),420000,07/02/2022
0424,tiền bán hàng,370000,01/07/2022
0425,buôn bán,400000,30/07/2022
0426,tiền bố mẹ,1010000,15/11/2022
0427,buôn bán,170000,12/09/2022
0428,học bổng,230000,26/01/2023
0429,buôn bán,210000,25/09/2022
0430,tiền bảo hiểm,210000,15/02/2022
0431,học bổng,1350000,13/02/2023
0432,buôn bán,360000,04/06/2022
0433,tiền bán đồ,280000,08/04/2022
0434,tiền hoa hồng,460000,06/12/2023
0435,buôn bán,240000,28/02/2023
0436,tiền bán vé số,120000,27/04/2022
0437,tiền bán vé số,370000,06/05/2023
0438,tiền bảo hiểm,430000,02/12/2023
0439,tiền bảo hiểm,620000,07/10/2022
0440,tiền bán đồ,460000,05/10/2023
0441,lương,190000,08/04/2023
0442,tiền hoa hồng,420000,15/07/2022
0443,tiền bán sách,350000,29/12/2022
0444,học bổng,280000,17/07/2022
0445,tiền hoa hồng,190000,27/04/2023
0446,thưởng(đi làm),390000,03/10/2023
0447,tiền bán vé số,340000,31/08/2022
0448,tiền hoa hồng,410000,15/06/2023
0449,thưởng(đi làm),350000,23/08/2022
0450,tiền bán đồ,190000,25/03/2022
0451,tiền bán sách,400000,18/02/2022
0452,tiền bố mẹ,1440000,04/11/2023
0453,tiền bán hàng,140000,24/06/2023
0454,tiền hoa hồng,310000,06/04/2023
0455,buôn bán,130000,09/09/2022
0456,buôn bán,470000,12/11/2022
0457,thưởng(đi làm),150000,10/10/2023
0458,tiền bán hàng,220000,12/09/2022
0459,lương,190000,02/05/2023
0460,tiền bố mẹ,1570000,24/10/2023
0461,học bổng,760000,15/07/2023
0462,lương,160000,03/09/2023
0463,lương,160000,17/05/2022
0464,tiền bán hàng,430000,20/02/2022
0465,thưởng(đi làm),490000,09/01/2022
0466,buôn bán,240000,06/03/2022
0467,tiền hoa hồng,450000,16/11/2023
0468,tiền bán vé số,260000,08/09/2023
0469,thưởng(đi làm),70000,27/09/2022
0470,lương,160000,24/05/2022
0471,tiền bán hàng,390000,31/05/2022
0472,thưởng(học tập),490000,10/02/2022
0473,thưởng(đi làm),130000,07/06/2023
0474,tiền bán vé số,370000,09/08/2022
0475,lương,180000,20/10/2023
0476,tiền hoa hồng,190000,17/12/2022
0477,tiền bán hàng,260000,25/04/2023
0478,tiền bán hàng,130000,16/07/2023
0479,tiền bán vé số,410000,24/11/2022
0480,tiền bán sách,180000,30/04/2023
0481,học bổng,1140000,17/07/2023
0482,tiền hoa hồng,380000,18/11/2023
0483,tiền bảo hiểm,920000,12/11/2022
0484,tiền bán vé số,430000,08/10/2023
0485,tiền hoa hồng,140000,10/09/2022
0486,học bổng,1800000,28/09/2022
0487,thưởng(học tập),230000,26/08/2022
0488,tiền bán đồ,450000,05/08/2022
0489,thưởng(đi làm),170000,13/03/2023
0490,tiền bán vé số,110000,30/03/2022
0491,tiền bảo hiểm,200000,13/04/2023
0492,tiền bảo hiểm,530000,05/02/2023
0493,học bổng,230000,10/07/2022
0494,tiền bán vé số,330000,22/12/2023
0495,thưởng(đi làm),120000,05/01/2022
0496,tiền hoa hồng,230000,22/09/2022
0497,thưởng(đi làm),440000,09/08/2023
0498,học bổng,1920000,23/10/2022
0499,tiền bảo hiểm,390000,08/03/2022
0500,thưởng(đi làm),410000,02/06/2022
0501,tiền bảo hiểm,920000,26/06/2022
0502,tiền bán hàng,390000,16/07/2022
0503,tiền bán sách,150000,04/02/2023
0504,tiền bán hàng,210000,20/06/2023
0505,tiền bán vé số,170000,22/12/2022
0506,tiền bảo hiểm,920000,27/09/2022
0507,tiền bán vé số,160000,07/04/2023
0508,tiền bán vé số,200000,23/03/2023
0509,thưởng(học tập),390000,01/03/2023
0510,tiền bảo hiểm,900000,06/10/2022
0511,tiền bán hàng,420000,05/05/2023
0512,tiền bán sách,150000,13/07/2023
0513,tiền bố mẹ,1290000,28/11/2022
0514,thưởng(học tập),400000,09/03/2023
0515,tiền bố mẹ,1770000,18/06/2023
0516,tiền hoa hồng,200000,14/09/2023
0517,thưởng(học tập),400000,11/05/2023
0518,thưởng(học tập),420000,10/06/2022
0519,tiền bán hàng,370000,20/03/2023
0520,tiền hoa hồng,400000,23/11/2022
0521,tiền bán vé số,190000,13/04/2023
0522,học bổng,290000,07/02/2022
0523,tiền bán đồ,470000,24/10/2023
0524,thưởng(học tập),250000,05/02/2023
0525,tiền bán sách,450000,31/07/2023
0526,tiền bán đồ,300000,29/07/2022
0527,tiền bán sách,300000,20/05/2022
0528,lương,130000,01/01/2022
0529,buôn bán,300000,29/06/2023
0530,tiền bán đồ,290000,14/04/2023
0531,tiền bán vé số,400000,01/09/2023
0532,tiền bán đồ,240000,24/01/2023
0533,thưởng(học tập),480000,14/10/2022
0534,tiền bố mẹ,1230000,29/11/2023
0535,tiền bán hàng,430000,18/06/2022
0536,tiền bán sách,410000,18/04/2022
0537,tiền hoa hồng,410000,14/01/2022
0538,tiền bán sách,280000,07/06/2022
0539,tiền bán đồ,210000,27/01/2023
0540,thưởng(học tập),270000,22/11/2023
0541,lương,150000,27/11/2022
0542,tiền bán vé số,270000,05/11/2022
0543,tiền bố mẹ,1520000,02/03/2023
0544,tiền bảo hiểm,810000,15/12/2023
0545,buôn bán,210000,22/11/2022
0546,tiền hoa hồng,430000,02/12/2023
0547,thưởng(đi làm),100000,23/07/2022
0548,tiền bảo hiểm,880000,12/01/2023
0549,tiền bán đồ,210000,03/06/2023
0550,thưởng(học tập),140000,07/05/2022
0551,thưởng(đi làm),230000,01/07/2023
0552,tiền bán hàng,380000,20/11/2022
0553,tiền hoa hồng,160000,21/04/2023
0554,tiền bảo hiểm,540000,03/09/2023
0555,tiền bán đồ,220000,07/06/2023
0556,tiền hoa hồng,410000,11/09/2023
0557,tiền bán hàng,340000,27/09/2023
0558,tiền bán đồ,280000,25/09/2023
0559,thưởng(học tập),100000,02/07/2022
0560,lương,120000,29/03/2023
0561,tiền bán hàng,290000,01/08/2023
0562,tiền bố mẹ,1270000,02/12/2022
0563,lương,170000,03/12/2022
0564,tiền bán đồ,440000,09/12/2022
0565,buôn bán,320000,14/07/2022
0566,thưởng(đi làm),330000,24/05/2023
0567,tiền bố mẹ,1050000,20/09/2022
0568,học bổng,330000,20/06/2023
0569,tiền bố mẹ,1780000,02/06/2022
0570,thưởng(đi làm),470000,18/12/2022
0571,học bổng,690000,16/08/2023
0572,tiền hoa hồng,400000,01/11/2022
0573,học bổng,230000,16/10/2022
0574,thưởng(đi làm),440000,03/09/2023
0575,thưởng(học tập),270000,27/02/2022
0576,lương,130000,31/08/2022
0577,buôn bán,450000,09/03/2023
0578,tiền hoa hồng,280000,21/09/2022
0579,lương,140000,01/11/2022
0580,tiền hoa hồng,240000,24/05/2022
0581,lương,180000,27/09/2023
0582,lương,100000,20/08/2023
0583,tiền hoa hồng,450000,18/07/2023
0584,tiền hoa hồng,100000,06/01/2023
0585,tiền hoa hồng,240000,29/03/2022
0586,tiền bảo hiểm,590000,16/01/2022
0587,thưởng(học tập),150000,06/09/2022
0588,tiền bán hàng,480000,11/02/2022
0589,tiền bán sách,410000,19/11/2022
0590,tiền hoa hồng,450000,06/02/2023
0591,buôn bán,400000,29/11/2022
0592,tiền bảo hiểm,950000,08/04/2023
0593,thưởng(đi làm),290000,21/01/2023
0594,tiền bố mẹ,1420000,06/12/2022
0595,tiền bán vé số,130000,26/05/2022
0596,học bổng,370000,06/09/2022
0597,học bổng,610000,27/05/2023
0598,tiền bán vé số,310000,03/02/2022
0599,thưởng(học tập),260000,26/04/2023
0600,lương,170000,27/06/2023
0601,thưởng(học tập),290000,12/11/2022
0602,lương,100000,06/11/2022
0603,tiền bán sách,160000,15/04/2022
0604,buôn bán,250000,07/08/2023
0605,tiền bán đồ,300000,26/01/2022
0606,tiền bán đồ,370000,05/04/2023
0607,tiền bố mẹ,1180000,01/06/2022
0608,thưởng(đi làm),250000,24/01/2023
0609,thưởng(đi làm),300000,22/01/2023
0610,tiền hoa hồng,190000,16/12/2022
0611,tiền bảo hiểm,590000,08/08/2023
0612,tiền bán đồ,320000,14/12/2023
0613,thưởng(đi làm),430000,13/04/2022
0614,thưởng(học tập),100000,27/07/2023
0615,thưởng(đi làm),100000,09/04/2023
0616,tiền bố mẹ,1980000,20/03/2023
0617,tiền bán sách,180000,11/05/2023
0618,tiền hoa hồng,250000,04/01/2023
0619,tiền bảo hiểm,630000,25/02/2022
0620,buôn bán,280000,25/06/2022
0621,học bổng,580000,13/09/2023
0622,buôn bán,340000,10/01/2023
0623,tiền hoa hồng,110000,03/07/2022
0624,buôn bán,120000,15/12/2022
0625,thưởng(đi làm),460000,07/05/2023
0626,buôn bán,220000,29/04/2022
0627,tiền bán đồ,220000,03/06/2023
0628,tiền bán sách,110000,20/12/2022
0629,học bổng,520000,21/06/2023
0630,lương,150000,22/06/2023
0631,học bổng,270000,23/02/2023
0632,lương,150000,30/01/2022
0633,buôn bán,230000,26/04/2022
0634,tiền hoa hồng,110000,30/06/2022
0635,tiền bán đồ,100000,30/12/2022
0636,học bổng,1770000,21/10/2023
0637,tiền bán hàng,150000,15/12/2023
0638,thưởng(đi làm),190000,01/01/2022
0639,tiền bảo hiểm,270000,14/01/2023
0640,thưởng(đi làm),350000,12/12/2023
0641,thưởng(học tập),460000,07/02/2022
0642,lương,190000,19/11/2022
0643,thưởng(học tập),50000,14/10/2023
0644,thưởng(học tập),150000,14/09/2022
0645,buôn bán,400000,15/08/2023
0646,thưởng(đi làm),420000,16/03/2023
0647,tiền bán sách,350000,08/05/2023
0648,buôn bán,370000,03/07/2023
0649,tiền hoa hồng,370000,03/03/2023
0650,thưởng(học tập),200000,16/12/2022
0651,tiền hoa hồng,240000,12/12/2023
0652,thưởng(học tập),160000,26/11/2023
